,gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days
6810,M,25,0b931f3c0c9049dd825fc371e4d759f9,2018-03-17,37000.0,985,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,4.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,26.82,13.125,195.0,0.0,40.0,0.33,0.0,4.47,0.006091370558375634
6811,F,51,6a71281072f7470785e859df21d3c2c5,2018-01-20,42000.0,1041,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,8.333333333333334,152.0,0.0,10.0,0.0,0.0,3.7,0.0019212295869356388
6812,F,53,7662f341972d48bfbdb8f63e66988630,2015-10-02,100000.0,1882,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,83.9,5.714285714285714,126.85714285714286,10.0,12.0,0.5,0.25,27.97,0.001594048884165781
6813,F,46,64819ea1d8b64913a80d8ea0b9f071c5,2018-03-09,82000.0,993,2.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,6.0,4.0,3.0,2.0,1.0,6.0,5.0,6.0,4.0,3.0,2.0,1.0,105.41,7.142857142857143,173.14285714285714,12.0,24.0,1.0,0.333,17.57,0.006042296072507553
6814,M,83,999ba07136d944758f7d1b6620563e1c,2018-07-08,83000.0,872,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,54.540000000000006,7.555555555555555,141.33333333333334,10.0,21.0,1.0,0.25,18.18,0.0034403669724770644
6815,F,90,732335156d0f4c629b0f55cee1592337,2018-03-19,57000.0,983,2.0,3.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,91.78999999999999,5.625,171.0,7.0,7.0,1.0,0.667,15.3,0.006103763987792472
6816,M,41,e9980e136f9e4f00a2e2c895907b0d82,2017-12-04,82000.0,1088,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,4.0,3.0,1.0,2.0,6.0,4.0,6.0,4.0,3.0,1.0,2.0,0.0,5.833333333333333,124.0,0.0,27.0,1.0,0.0,0.0,0.0
6817,F,65,953f730903484691800d77f17750cdb0,2018-01-28,39000.0,1033,2.0,6.0,3.0,9.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,5.0,6.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,100.39999999999999,9.090909090909092,194.1818181818182,7.0,29.0,0.5,0.333,11.16,0.008712487899322363
6818,F,58,d25f38519a89455499c9e49e67ae1511,2013-07-30,55000.0,2676,2.0,6.0,3.0,18.0,2.0,1.0,2.0,2.0,0.0,2.0,6.0,3.0,6.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,63.95,5.454545454545454,154.9090909090909,4.0,9.0,0.5,0.333,3.55,0.006726457399103139
6819,M,43,d628f07ed9524e8aa489e5dd4aa26578,2014-08-17,67000.0,2293,1.0,4.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,29.53,5.714285714285714,137.14285714285714,5.0,15.0,0.5,0.25,3.28,0.0039249890972525075
6820,F,32,6501f7863265467284c18e136e4d76ac,2016-12-16,38000.0,1441,2.0,3.0,1.0,9.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.91999999999999,6.666666666666667,132.0,15.0,15.0,0.33,0.667,12.32,0.006245662734212352
6821,M,26,95e879c99aea4bec91f21aa0b355dcee,2017-08-11,66000.0,1203,6.0,6.0,4.0,16.0,6.0,5.0,6.0,5.0,4.0,2.0,6.0,5.0,6.0,5.0,4.0,2.0,0.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,292.45000000000005,7.875,159.0,35.0,35.0,0.67,1.0,18.28,0.013300083125519535
6822,M,59,663a3eb67a9245ba9ed86162a7f1e801,2017-06-09,79000.0,1266,5.0,5.0,4.0,10.0,5.0,3.0,5.0,5.0,1.0,4.0,5.0,3.0,5.0,5.0,1.0,4.0,0.0,4.0,3.0,4.0,4.0,1.0,3.0,0.0,175.07,8.928571428571429,188.57142857142858,13.0,13.0,0.8,1.0,17.51,0.007898894154818325
6823,M,60,401f773670d94a7488581e99777c6c8f,2017-12-26,94000.0,1066,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,3.0,4.0,4.0,4.0,0.0,1.0,0.0,3.0,78.83,2.5,96.0,0.0,10.0,1.0,0.0,26.28,0.0028142589118198874
6824,M,46,586f34cfc4ac462bb6d87026c7bc3aad,2014-03-29,42000.0,2434,1.0,3.0,2.0,11.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,29.200000000000003,8.333333333333334,184.0,2.0,7.0,0.67,0.333,2.65,0.0045193097781429745
6825,F,33,731cf81d68a641019a2da3fc97459223,2017-03-31,37000.0,1336,5.0,6.0,6.0,16.0,5.0,3.0,4.0,3.0,3.0,2.0,6.0,4.0,5.0,4.0,4.0,2.0,0.0,6.0,4.0,5.0,4.0,4.0,2.0,0.0,109.46999999999998,10.352941176470589,175.05882352941177,33.0,43.0,1.0,0.833,6.84,0.011976047904191617
6826,F,38,86ff8cbc870d4dbfabd9122c64cc9c6c,2017-09-09,60000.0,1174,4.0,5.0,2.0,7.0,4.0,1.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,110.63000000000001,7.363636363636363,163.63636363636363,18.0,18.0,0.4,0.8,15.8,0.00596252129471891
6827,F,27,8efe784d3d864d1294e5d6c71af22032,2016-02-10,51000.0,1751,4.0,5.0,4.0,12.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,494.1499999999999,7.384615384615385,140.30769230769232,28.0,28.0,0.8,0.8,41.18,0.006853226727584237
6828,F,67,091c007c27584fb4850eb5fa0ff890e5,2015-10-19,66000.0,1865,3.0,4.0,4.0,7.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,118.82,6.0,157.0909090909091,10.0,10.0,1.0,0.75,16.97,0.0037533512064343165
6829,M,25,0b3878783eed4009993f706e51f19d9e,2018-07-02,74000.0,878,3.0,5.0,3.0,15.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,313.53999999999996,7.2727272727272725,165.8181818181818,12.0,12.0,0.6,0.6,20.9,0.017084282460136675
6830,M,18,b901d4c1272944f198e4a708b89e6591,2018-06-13,52000.0,897,1.0,5.0,3.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,3.0,5.0,4.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,17.04,4.444444444444445,117.33333333333333,5.0,20.0,0.6,0.2,2.43,0.007803790412486065
6831,M,56,5b545e1908744a4798c7c4318be843e8,2017-09-10,74000.0,1173,2.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,4.0,5.0,4.0,4.0,0.0,1.0,5.0,4.0,5.0,4.0,4.0,0.0,1.0,65.59,7.5,128.0,20.0,35.0,1.0,0.4,21.86,0.0025575447570332483
6832,M,52,c56f0935f02a47158c4d7792e3cee843,2015-12-17,94000.0,1806,3.0,6.0,4.0,7.0,3.0,2.0,3.0,2.0,1.0,2.0,6.0,3.0,6.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,0.0,2.0,2.0,171.69000000000003,6.153846153846154,155.07692307692307,14.0,14.0,0.67,0.5,24.53,0.003875968992248062
6833,F,53,30d1da64d80a40d5ab3fc81611f367f7,2016-01-20,96000.0,1772,1.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,143.22,4.444444444444445,112.0,5.0,12.0,0.33,0.167,23.87,0.003386004514672686
6834,M,25,0b63d4cabf5f4c1eab0277c6c1b09362,2016-06-28,55000.0,1612,5.0,5.0,2.0,11.0,5.0,1.0,3.0,5.0,0.0,5.0,5.0,1.0,3.0,5.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,147.03,13.416666666666666,198.0,17.0,17.0,0.4,1.0,13.37,0.006823821339950372
6835,M,74,46d8c002b7de4b49919b476a6be4a1ee,2017-11-24,61000.0,1098,3.0,4.0,3.0,10.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,146.64000000000001,7.5,132.0,17.0,17.0,0.75,0.75,14.66,0.009107468123861567
6836,M,34,33d7d058b31f473ea2e2a1b53971ee8a,2014-03-10,46000.0,2453,3.0,4.0,2.0,12.0,3.0,0.0,3.0,3.0,2.0,1.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,163.0,7.222222222222222,162.66666666666666,12.0,22.0,0.5,0.75,13.58,0.004891969017529555
6837,M,27,0864b88ddd1945ff8982d042d520c7fb,2017-08-28,45000.0,1186,0.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,7.859999999999999,9.714285714285714,164.57142857142858,0.0,21.0,0.75,0.0,1.57,0.0042158516020236085
6838,M,57,9aa25ad8fd1940efb459bb515e6abcb5,2018-07-02,39000.0,878,4.0,6.0,4.0,6.0,4.0,2.0,4.0,4.0,3.0,1.0,6.0,4.0,6.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,0.0,1.0,78.51,6.785714285714286,126.85714285714286,22.0,32.0,0.67,0.667,13.08,0.00683371298405467
6839,M,74,33cb21065cc5451ab45154d31e88178b,2018-01-20,63000.0,1041,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,42.42,6.0,141.6,12.0,12.0,1.0,0.5,21.21,0.0019212295869356388
6840,M,47,1d1e648b281840e18d98a54ee56f28bf,2018-01-29,41000.0,1032,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,12.333333333333334,192.0,0.0,10.0,0.0,0.0,6.65,0.0029069767441860465
6841,M,71,d087fd0166404163b7d1e1e7cf2a9ac7,2017-12-04,63000.0,1088,4.0,5.0,5.0,29.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,3.0,0.0,5.0,5.0,5.0,5.0,2.0,3.0,0.0,92.97999999999999,8.285714285714286,181.71428571428572,12.0,22.0,1.0,0.8,3.21,0.02665441176470588
6842,F,64,f5c121aa62594d35b71cbe56ec7f6c9e,2016-07-09,103000.0,1601,3.0,5.0,4.0,12.0,3.0,3.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,4.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,284.26,7.5,186.0,14.0,14.0,0.8,0.6,23.69,0.007495315427857589
6843,F,65,79bfd96879f449a8a32c34947de5638b,2018-03-26,95000.0,976,3.0,6.0,5.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,6.0,3.0,5.0,6.0,3.0,2.0,1.0,5.0,3.0,4.0,5.0,3.0,2.0,0.0,58.9,9.0,164.57142857142858,13.0,28.0,0.83,0.5,29.45,0.0020491803278688526
6844,F,62,033f0ee2250e475b87f70115e7895957,2016-12-23,108000.0,1434,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,90.43,6.2,148.8,3.0,8.0,1.0,0.5,30.14,0.0020920502092050207
6845,M,73,bec4d93f34874661b7310ec99893ed13,2016-08-13,84000.0,1566,2.0,3.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,149.17,5.0,120.0,10.0,15.0,1.0,0.667,21.31,0.004469987228607918
6846,M,38,af9a7712bc024eeaa0533cfcff3e86aa,2017-11-16,46000.0,1106,3.0,4.0,4.0,7.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,79.13,11.363636363636363,178.9090909090909,20.0,30.0,1.0,0.75,11.3,0.006329113924050633
6847,M,49,3cb2907fc9d54e61a9cf6fa050237690,2017-12-29,81000.0,1063,5.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,6.0,5.0,6.0,5.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,81.10000000000001,8.266666666666667,172.8,27.0,27.0,0.67,0.833,20.28,0.0037629350893697085
6848,F,52,e820e95254a24e9abe9704555f8bbee2,2018-07-07,56000.0,873,5.0,6.0,6.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,6.0,4.0,5.0,6.0,1.0,5.0,0.0,6.0,4.0,5.0,6.0,1.0,5.0,0.0,71.24,9.235294117647058,201.88235294117646,15.0,20.0,1.0,0.833,17.81,0.004581901489117984
6849,F,42,b270f33e4efb46cf8ef0ad6b1fdfefe9,2017-07-26,70000.0,1219,1.0,2.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,201.14999999999998,12.0,172.8,5.0,5.0,1.0,0.5,16.76,0.009844134536505332
6850,M,31,515d4d9094964a188166571ec1f72c1d,2017-08-11,41000.0,1203,2.0,4.0,3.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,93.94000000000001,10.0,186.66666666666666,12.0,32.0,0.75,0.5,9.39,0.00831255195344971
6851,F,75,cc4f91c73dec40f0b86d5a78185e22f4,2016-03-24,72000.0,1708,5.0,6.0,3.0,13.0,5.0,3.0,4.0,5.0,1.0,4.0,6.0,3.0,5.0,6.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,200.03000000000003,9.0,178.28571428571428,17.0,17.0,0.5,0.833,15.39,0.007611241217798595
6852,M,34,2d417224c49c4d1eb3ad45275ae43662,2017-11-09,43000.0,1113,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,9.670000000000002,11.142857142857142,188.57142857142858,0.0,18.0,0.4,0.0,3.22,0.0026954177897574125
6853,F,46,445649ee453c4633a1e6af2b38d90881,2017-03-18,95000.0,1349,3.0,6.0,6.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0,5.0,3.0,2.0,1.0,3.0,6.0,3.0,5.0,3.0,2.0,1.0,3.0,268.76,7.0,147.2,20.0,20.0,1.0,0.5,33.6,0.005930318754633061
6854,M,49,1342d779e7594c899f9ce936e55790d7,2016-12-23,32000.0,1434,1.0,5.0,3.0,15.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,43.879999999999995,8.333333333333334,168.0,2.0,22.0,0.6,0.2,2.93,0.010460251046025104
6855,F,57,62ca3ef8900946739da97145222e3107,2018-03-06,49000.0,996,1.0,6.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,5.0,6.0,5.0,5.0,0.0,1.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,21.14,7.083333333333333,126.0,5.0,40.0,0.83,0.167,2.35,0.009036144578313253
6856,F,71,a83b13b3bfe245189f5cf414ba2cdb3f,2016-01-03,86000.0,1789,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,80.02000000000001,5.75,132.0,8.0,18.0,0.5,0.5,20.01,0.0022358859698155395
6857,M,56,47e9f9fcd7a248aca993ab995f072552,2018-03-30,96000.0,972,2.0,3.0,1.0,6.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,147.18,15.0,240.0,7.0,12.0,0.33,0.667,24.53,0.006172839506172839
6858,F,68,8cd664a131394da28639183c80c3cab7,2017-12-22,59000.0,1070,3.0,4.0,4.0,7.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,94.79,8.727272727272727,170.1818181818182,13.0,13.0,1.0,0.75,13.54,0.0065420560747663555
6859,F,57,681f57254d5541e0a9b5948929811bce,2016-10-29,92000.0,1489,3.0,5.0,5.0,9.0,3.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,221.03000000000003,5.769230769230769,158.76923076923077,17.0,17.0,1.0,0.6,24.56,0.006044325050369375
6860,O,77,141acdc240c34737bc25aaa030051b1e,2016-05-30,85000.0,1641,3.0,5.0,5.0,13.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,3.0,2.0,1.0,2.0,5.0,4.0,5.0,3.0,2.0,1.0,2.0,304.54999999999995,5.076923076923077,131.07692307692307,18.0,18.0,1.0,0.6,23.43,0.007921998781230956
6861,F,52,cfd66def1f3c4050a1d7dfd3f928cd44,2016-07-29,81000.0,1581,3.0,4.0,2.0,8.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,196.23000000000002,9.444444444444445,157.33333333333334,22.0,27.0,0.5,0.75,24.53,0.005060088551549652
6862,M,56,5532d4074ad946a8bc19ad1b1d4347ac,2016-02-14,71000.0,1747,3.0,3.0,2.0,6.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,114.32,8.75,168.0,25.0,25.0,0.67,1.0,19.05,0.0034344590726960505
6863,M,59,f126206918334d3ea43168faa612e277,2018-01-10,31000.0,1051,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.34,5.0,168.0,0.0,5.0,0.0,0.0,8.34,0.003805899143672693
6864,F,58,8d87b4721b494123b655374a403a75ed,2018-04-28,41000.0,943,3.0,4.0,3.0,13.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0,121.63000000000001,10.5,204.0,12.0,22.0,0.75,0.75,9.36,0.013785790031813362
6865,O,21,9a9b396176624d1296897645eceb65c0,2018-02-19,60000.0,1011,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,2.0,0.0,4.0,4.0,4.0,2.0,3.0,1.0,0.0,6.1499999999999995,8.88888888888889,173.33333333333334,0.0,29.0,0.8,0.0,3.08,0.0019782393669634025
6866,M,74,5ed0135d7ad9443f82a69861cb2fdb3e,2017-11-08,55000.0,1114,2.0,5.0,2.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,24.1,6.777777777777778,154.66666666666666,8.0,15.0,0.4,0.4,3.01,0.00718132854578097
6867,M,77,677d86af9c3a41d7bbe03b087705ea99,2017-10-12,56000.0,1141,0.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,5.0,0.0,4.0,2.0,4.0,4.0,4.0,3.0,0.0,3.0,1.0,10.21,5.2,141.6,0.0,11.0,0.67,0.0,2.04,0.0043821209465381246
6868,M,62,894d620373384c5f8c25e28d15de7959,2017-06-16,69000.0,1259,5.0,5.0,5.0,21.0,5.0,5.0,5.0,2.0,5.0,0.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,0.0,0.0,352.16999999999996,8.0,148.8,40.0,40.0,1.0,1.0,16.77,0.016679904686258934
6869,F,63,c249bfa89db240289392f1c30b7b7163,2017-10-23,75000.0,1130,2.0,4.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,116.72,5.0,117.0,15.0,15.0,0.5,0.5,19.45,0.005309734513274336
6870,F,60,9fdd832da9314bddbc5eb1b0aad221bb,2015-03-28,42000.0,2070,3.0,4.0,4.0,23.0,3.0,2.0,3.0,3.0,0.0,3.0,4.0,2.0,4.0,4.0,0.0,3.0,1.0,4.0,2.0,4.0,4.0,0.0,3.0,1.0,149.66000000000003,7.363636363636363,174.54545454545453,7.0,7.0,1.0,0.75,6.51,0.011111111111111112
6871,F,54,79c8b1dbf8e8408e85c4f7473412788e,2017-04-25,102000.0,1311,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,71.94,5.833333333333333,120.0,10.0,15.0,0.67,0.333,23.98,0.002288329519450801
6872,M,57,dc521ab68ca546e0bd663811c091277b,2018-07-13,55000.0,867,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,4.0,5.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,6.9,8.75,177.0,5.0,19.0,0.4,0.2,2.3,0.0034602076124567475
6873,F,85,6e30c103b3c446d58513c19a4da6e39b,2017-08-06,38000.0,1208,3.0,6.0,3.0,11.0,3.0,2.0,3.0,3.0,2.0,1.0,6.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,79.80000000000001,8.416666666666666,152.0,18.0,28.0,0.5,0.5,7.25,0.009105960264900662
6874,M,51,2f811436e81b461e882079479c68e72d,2018-06-30,36000.0,880,3.0,6.0,4.0,9.0,3.0,0.0,2.0,3.0,0.0,3.0,6.0,1.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,95.91999999999999,10.76923076923077,175.3846153846154,9.0,19.0,0.67,0.5,10.66,0.010227272727272727
6875,M,66,713ea3c455b14fa3b18d47f15ef150a9,2018-02-11,61000.0,1019,1.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,112.41000000000001,7.714285714285714,154.28571428571428,2.0,10.0,1.0,0.333,28.1,0.003925417075564278
6876,F,59,70f0cba2dfeb48d2817d789ba39b1939,2017-08-25,35000.0,1189,4.0,6.0,4.0,6.0,4.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,3.0,5.0,2.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,62.31,11.785714285714286,188.57142857142858,25.0,30.0,0.67,0.667,10.38,0.005046257359125316
6877,M,28,4442993b339f48d2b8cf3f2af357cfa3,2018-06-20,68000.0,890,3.0,5.0,5.0,6.0,3.0,2.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,3.0,4.0,1.0,0.0,5.0,4.0,5.0,3.0,4.0,1.0,0.0,33.9,8.153846153846153,160.6153846153846,18.0,38.0,1.0,0.6,5.65,0.006741573033707865
6878,M,40,33be916683434fa3b66027d490a33e2c,2017-04-27,56000.0,1309,3.0,5.0,5.0,13.0,3.0,2.0,3.0,2.0,2.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,200.45999999999998,7.3076923076923075,145.84615384615384,17.0,27.0,1.0,0.6,15.42,0.009931245225362872
6879,F,52,5e19e1cf9fbf430680d752ee2003b404,2015-12-12,88000.0,1811,4.0,6.0,6.0,8.0,4.0,3.0,4.0,4.0,2.0,2.0,6.0,3.0,6.0,6.0,2.0,2.0,2.0,6.0,3.0,6.0,6.0,2.0,2.0,2.0,172.55,6.0,154.5,20.0,20.0,1.0,0.667,21.57,0.004417448923246825
6880,F,87,3f2a5ab7168645479b7b11be3147d4dc,2016-07-15,72000.0,1595,3.0,5.0,3.0,10.0,3.0,3.0,3.0,1.0,3.0,0.0,5.0,3.0,5.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,203.95,6.818181818181818,141.8181818181818,25.0,25.0,0.6,0.6,20.4,0.006269592476489028
6881,F,54,c830751fd5de4453a105b0bd54aa070f,2018-04-19,79000.0,952,2.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,68.51,8.333333333333334,152.0,10.0,12.0,0.75,0.5,22.84,0.0031512605042016808
6882,F,54,f12026bef50743d0a4337abebf1729a8,2017-06-06,79000.0,1269,4.0,5.0,5.0,14.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0,2.0,4.0,5.0,1.0,3.0,1.0,5.0,2.0,4.0,5.0,1.0,3.0,1.0,301.12,9.642857142857142,204.0,14.0,14.0,1.0,0.8,21.51,0.01103230890464933
